✅ [SUIVI VENTE] ID: 6989cd711a85ef6cb81a4cad | Article: 6989c9635f6d66d923d88ec3 | Qté: 1 | Vendeur: 6989c7b4a1486e9a5954d763 | Date: 2026-02-09T12:05:05.721Z
✅ [SUIVI VENTE] ID: 6989cdbb1a85ef6cb81a4cb2 | Article: 6989c9635f6d66d923d88ec3 | Qté: 8 | Vendeur: 6989c7b4a1486e9a5954d763 | Date: 2026-02-09T12:06:19.366Z
✅ [SUIVI VENTE] ID: 698c600d5c45fdbec24b3abe | Article: 698c5ee7d7e471a44a156dcf | Qté: 10 | Vendeur: 698c5c49b8be607f65fb396a | Date: 2026-02-11T10:55:09.675Z
✅ [SUIVI VENTE] ID: 698c60235c45fdbec24b3ac6 | Article: 6989ca975f6d66d923d88ec9 | Qté: 9 | Vendeur: 698c5c49b8be607f65fb396a | Date: 2026-02-11T10:55:31.014Z
✅ [SUIVI VENTE] ID: 698c92a9f485f97be40e165f | Article: 6989c9635f6d66d923d88ec3 | Qté: 1 | Vendeur: 698c5c49b8be607f65fb396a | Date: 2026-02-11T14:31:05.511Z
✅ [SUIVI VENTE] ID: 698c9671f485f97be40e16d6 | Article: 6989ca8c5f6d66d923d88ec7 | Qté: 1 | Vendeur: 698c5c49b8be607f65fb396a | Date: 2026-02-11T14:47:14.003Z
✅ [SUIVI VENTE] ID: 698ca7d02ebb63ab82b204e1 | Article: 6989c9635f6d66d923d88ec3 | Qté: 10 | Vendeur: 698c9807f485f97be40e1703 | Date: 2026-02-11T16:01:21.000Z
✅ [SUIVI VENTE] ID: 698ca7de2ebb63ab82b204e9 | Article: 6989ca975f6d66d923d88ec9 | Qté: 1 | Vendeur: 698c9807f485f97be40e1703 | Date: 2026-02-11T16:01:34.149Z
✅ [SUIVI VENTE] ID: 698caa5b918300590990e3c9 | Article: 6989ca8c5f6d66d923d88ec7 | Qté: 2 | Vendeur: 698c5c49b8be607f65fb396a | Date: 2026-02-11T16:12:11.412Z
✅ [SUIVI VENTE] ID: 698caa5b918300590990e3cd | Article: 6989caaa5f6d66d923d88ecb | Qté: 1 | Vendeur: 698c5c49b8be607f65fb396a | Date: 2026-02-11T16:12:11.413Z
✅ [SUIVI VENTE] ID: 698caa5b918300590990e3d1 | Article: 6989cac55f6d66d923d88ece | Qté: 1 | Vendeur: 698c5c49b8be607f65fb396a | Date: 2026-02-11T16:12:11.413Z
✅ [SUIVI VENTE] ID: 698cabb4918300590990e443 | Article: 6989caaa5f6d66d923d88ecb | Qté: 1 | Vendeur: 698c5c49b8be607f65fb396a | Date: 2026-02-11T16:17:56.903Z
✅ [SUIVI VENTE] ID: 698cabb4918300590990e447 | Article: 6989cacf5f6d66d923d88ed0 | Qté: 1 | Vendeur: 698c5c49b8be607f65fb396a | Date: 2026-02-11T16:17:56.904Z
✅ [SUIVI VENTE] ID: 698cabb4918300590990e44b | Article: 6989cac55f6d66d923d88ece | Qté: 1 | Vendeur: 698c5c49b8be607f65fb396a | Date: 2026-02-11T16:17:56.904Z
✅ [SUIVI VENTE] ID: 698cac3d918300590990e4ab | Article: 6989c9635f6d66d923d88ec3 | Qté: 1 | Vendeur: 698c5c49b8be607f65fb396a | Date: 2026-02-11T16:20:13.374Z
✅ [SUIVI VENTE] ID: 698cb073918300590990e5f1 | Article: 6989cac55f6d66d923d88ece | Qté: 1 | Vendeur: 698c5c49b8be607f65fb396a | Date: 2026-02-11T16:38:11.771Z
✅ [SUIVI VENTE] ID: 698cb0b0918300590990e613 | Article: 6989cacf5f6d66d923d88ed0 | Qté: 1 | Vendeur: 698c5c49b8be607f65fb396a | Date: 2026-02-11T16:39:12.268Z
✅ [SUIVI VENTE] ID: 698d9d66b011625e2e6a2023 | Article: 6989ca8c5f6d66d923d88ec7 | Qté: 1 | Vendeur: 698c5c49b8be607f65fb396a | Date: 2026-02-12T09:29:10.707Z
✅ [SUIVI VENTE] ID: 698da8820c03c7cb294d3e10 | Article: 6989c9635f6d66d923d88ec3 | Qté: 10 | Vendeur: 698c5c49b8be607f65fb396a | Date: 2026-02-12T10:16:34.687Z
